questions,answer,category
Bagaimana cara menghubungi Ir. Tri Astoto Kurniawan melalui email?,Ir. Tri Astoto Kurniawan dapat dihubungi melalui email triak[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Ir. Tri Astoto Kurniawan?,"Nama lengkap Ir. Tri Astoto Kurniawan dan gelar akademiknya adalah Ir. Tri Astoto Kurniawan, S.T., M.T., Ph.D",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Ir. Tri Astoto Kurniawan?,Ir. Tri Astoto Kurniawan terafiliasi dengan Departemen Teknik Informatika (DTIF) dan Program Studi S2 Magister Ilmu Komputer,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Ir. Tri Astoto Kurniawan?,"Ir. Tri Astoto Kurniawan fokus dalam bidang Rekayasa Kebutuhan, Software Reuse, Service Computing, Manajemen dan Pemodelan Proses Bisnis, Teknologi Agen dan Objek",Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Ir. Tri Afirianto melalui email?,Ir. Tri Afirianto dapat dihubungi melalui email tri.afirianto[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Ir. Tri Afirianto?,"Nama lengkap Ir. Tri Afirianto dan gelar akademiknya adalah Ir. Tri Afirianto, S.T., M.T.",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Ir. Tri Afirianto?,Ir. Tri Afirianto terafiliasi dengan Departemen Sistem Informasi (DSI) dan Program Studi S1 Pendidikan Teknologi Informasi,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Ir. Tri Afirianto?,"Ir. Tri Afirianto fokus dalam bidang Realitas Berimbuh, Realitas Maya, dan Gim Edukasi",Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Ir. Widhy Hayuhardhika Nugraha Putra melalui email?,Ir. Widhy Hayuhardhika Nugraha Putra dapat dihubungi melalui email widhy[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Ir. Widhy Hayuhardhika Nugraha Putra?,"Nama lengkap Ir. Widhy Hayuhardhika Nugraha Putra dan gelar akademiknya adalah Ir. Widhy Hayuhardhika Nugraha Putra, S.Kom., M.Kom",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Ir. Widhy Hayuhardhika Nugraha Putra?,Ir. Widhy Hayuhardhika Nugraha Putra terafiliasi dengan Departemen Sistem Informasi (DSI) dan Program Studi S1 Teknologi Informasi,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Ir. Widhy Hayuhardhika Nugraha Putra?,"Ir. Widhy Hayuhardhika Nugraha Putra fokus dalam Pengembangan Sistem Informasi, Integrasi Teknologi Informasi, Semantik, dan Proses Bisnis",Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Ismiarta Aknuranda melalui email?,Ismiarta Aknuranda dapat dihubungi melalui email i.aknuranda[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Ismiarta Aknuranda?,"Nama lengkap Ismiarta Aknuranda dan gelar akademiknya adalah Ismiarta Aknuranda, S.T., M.Sc., Ph.D",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Ismiarta Aknuranda?,Ismiarta Aknuranda terafiliasi dengan Departemen Sistem Informasi (DSI) dan Program Studi S1 Teknologi Informasi,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Ismiarta Aknuranda?,Ismiarta Aknuranda fokus dalam Analisis Sistem dan Pengalaman Pengguna,Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Kasyful Amron melalui email?,Kasyful Amron dapat dihubungi melalui email kasyful[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Kasyful Amron?,"Nama lengkap Kasyful Amron dan gelar akademiknya adalah Kasyful Amron, S.T., M.Sc",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Kasyful Amron?,Kasyful Amron terafiliasi dengan Departemen Teknik Informatika (DTIF) dan Program Studi S1 Teknik Informatika,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Kasyful Amron?,Kasyful Amron fokus dalam Wireless Network dan Wireless Sensor Networks,Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Khalid Rahman melalui email?,Khalid Rahman dapat dihubungi melalui email tlq[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Khalid Rahman?,"Nama lengkap Khalid Rahman dan gelar akademiknya adalah Khalid Rahman, S.Pd.I., M.Pd.I",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Khalid Rahman?,Khalid Rahman terafiliasi dengan Departemen Sistem Informasi (DSI) dan Program Studi S1 Pendidikan Teknologi Informasi,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Khalid Rahman?,Khalid Rahman fokus dalam Pendidikan Agama Islam,Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi M. Ali Fauzi melalui email?,M. Ali Fauzi dapat dihubungi melalui email moch.ali.fauzi[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik M. Ali Fauzi?,"Nama lengkap M. Ali Fauzi dan gelar akademiknya adalah M. Ali Fauzi, S.Kom., M.Kom",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi M. Ali Fauzi?,M. Ali Fauzi terafiliasi dengan Departemen Sistem Informasi (DSI) dan Program Studi S1 Teknologi Informasi,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus M. Ali Fauzi?,M. Ali Fauzi fokus dalam Text Mining dan Natural Language Processing,Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Mahardeka Tri Ananta melalui email?,Mahardeka Tri Ananta dapat dihubungi melalui email deka[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Mahardeka Tri Ananta?,"Nama lengkap Mahardeka Tri Ananta dan gelar akademiknya adalah Mahardeka Tri Ananta, S.Kom., M.T., M.Sc",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Mahardeka Tri Ananta?,Mahardeka Tri Ananta terafiliasi dengan Departemen Teknik Informatika (DTIF) dan Program Studi S1 Teknik Informatika,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Mahardeka Tri Ananta?,"Mahardeka Tri Ananta fokus dalam Human Computer Interaction, Mobile App Development, dan User Experience",Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Mahendra Data melalui email?,Mahendra Data dapat dihubungi melalui email mahendra.data[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Mahendra Data?,"Nama lengkap Mahendra Data dan gelar akademiknya adalah Mahendra Data, S.Kom., M.Kom., Ph.D",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Mahendra Data?,Mahendra Data terafiliasi dengan Departemen Teknik Informatika (DTIF) dan Program Studi S1 Teknik Informatika,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Mahendra Data?,"Mahendra Data fokus dalam Jaringan, Virtualisasi, dan Data Mining Jaringan",Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Mochamad Chandra Saputra melalui email?,Mochamad Chandra Saputra dapat dihubungi melalui email andra[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Mochamad Chandra Saputra?,"Nama lengkap Mochamad Chandra Saputra dan gelar akademiknya adalah Mochamad Chandra Saputra, S.Kom., M.Eng., M.T., Ph.D",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Mochamad Chandra Saputra?,Mochamad Chandra Saputra terafiliasi dengan Departemen Sistem Informasi (DSI) dan Program Studi S1 Sistem Informasi,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Mochamad Chandra Saputra?,"Mochamad Chandra Saputra fokus dalam Pengujian Perangkat Lunak, Rekayasa Perangkat Lunak, Pengembangan SI, dan Manajemen Proyek SI",Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Mochammad Hannats Hanafi Ichsan melalui email?,Mochammad Hannats Hanafi Ichsan dapat dihubungi melalui email hanas.hanafi[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Mochammad Hannats Hanafi Ichsan?,"Nama lengkap Mochammad Hannats Hanafi Ichsan dan gelar akademiknya adalah Mochammad Hannats Hanafi Ichsan, S.ST., M.T",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Mochammad Hannats Hanafi Ichsan?,Mochammad Hannats Hanafi Ichsan terafiliasi dengan Departemen Teknik Informatika (DTIF) dan Program Studi S1 Teknik Komputer,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Mochammad Hannats Hanafi Ichsan?,Mochammad Hannats Hanafi Ichsan fokus dalam Rekayasa Sistem Komputer dan Rekayasa Perangkat Cerdas,Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Mokhamad Jainuri melalui email?,Mokhamad Jainuri dapat dihubungi melalui email djainuri[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Mokhamad Jainuri?,"Nama lengkap Mokhamad Jainuri dan gelar akademiknya adalah Mokhamad Jainuri, S.S., M.Hum",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Mokhamad Jainuri?,Mokhamad Jainuri terafiliasi dengan Departemen Sistem Informasi (DSI) dan Program Studi S1 Pendidikan Teknologi Informasi,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Mokhamad Jainuri?,Mokhamad Jainuri fokus dalam Bahasa dan Budaya,Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Muhammad Tanzil Furqon melalui email?,Muhammad Tanzil Furqon dapat dihubungi melalui email m.tanzil.furqon[at]gmail.com,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Muhammad Tanzil Furqon?,"Nama lengkap Muhammad Tanzil Furqon dan gelar akademiknya adalah Muhammad Tanzil Furqon, S.Kom., M.Cs",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Muhammad Tanzil Furqon?,Muhammad Tanzil Furqon terafiliasi dengan Departemen Teknik Informatika (DTIF) dan Program Studi S1 Teknik Informatika,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Muhammad Tanzil Furqon?,"Muhammad Tanzil Furqon fokus dalam Data Mining, Intelligent System, Big Data, dan Parallel Processing",Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Muhammad Aminul Akbar melalui email?,Muhammad Aminul Akbar dapat dihubungi melalui email muhammad.aminul[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Muhammad Aminul Akbar?,"Nama lengkap Muhammad Aminul Akbar dan gelar akademiknya adalah Muhammad Aminul Akbar, S.Kom., M.T",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Muhammad Aminul Akbar?,Muhammad Aminul Akbar terafiliasi dengan Departemen Sistem Informasi (DSI) dan Program Studi S1 Sistem Informasi,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Muhammad Aminul Akbar?,"Muhammad Aminul Akbar fokus dalam Artificial Intelligence for Game, Interaksi Manusia Komputer, Serious Game, Game Development, dan Mixed Reality",Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Nanang Yudi Setiawan melalui email?,Nanang Yudi Setiawan dapat dihubungi melalui email nanang[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Nanang Yudi Setiawan?,"Nama lengkap Nanang Yudi Setiawan dan gelar akademiknya adalah Nanang Yudi Setiawan, S.T., M.Kom",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Nanang Yudi Setiawan?,Nanang Yudi Setiawan terafiliasi dengan Departemen Sistem Informasi (DSI) dan Program Studi S1 Sistem Informasi,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Nanang Yudi Setiawan?,Nanang Yudi Setiawan fokus dalam Manajemen Proses Bisnis dan Kecerdasan Bisnis,Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Nur Hazbiy Shaffan melalui email?,Nur Hazbiy Shaffan dapat dihubungi melalui email nur.hazbiy[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Nur Hazbiy Shaffan?,"Nama lengkap Nur Hazbiy Shaffan dan gelar akademiknya adalah Nur Hazbiy Shaffan, S.T., M.T",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Nur Hazbiy Shaffan?,Nur Hazbiy Shaffan terafiliasi dengan Departemen Teknik Komputer dan Program Studi S1 Teknik Komputer,Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Nurul Hidayat melalui email?,Nurul Hidayat dapat dihubungi melalui email ntayadih[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Nurul Hidayat?,"Nama lengkap Nurul Hidayat dan gelar akademiknya adalah Nurul Hidayat, S.Pd., M.Sc",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Nurul Hidayat?,Nurul Hidayat terafiliasi dengan Departemen Sistem Informasi (DSI) dan Program Studi S1 Pendidikan Teknologi Informasi,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Nurul Hidayat?,Nurul Hidayat fokus dalam Sistem Pakar,Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Prima Zulvarina melalui email?,Prima Zulvarina dapat dihubungi melalui email primazulvarina[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Prima Zulvarina?,"Nama lengkap Prima Zulvarina dan gelar akademiknya adalah Prima Zulvarina, S.S., M.Pd",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Prima Zulvarina?,Prima Zulvarina terafiliasi dengan Departemen Sistem Informasi (DSI) dan Program Studi S1 Pendidikan Teknologi Informasi,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Prima Zulvarina?,"Prima Zulvarina fokus dalam Bahasa, Pendidikan, dan Pengembangan Media Pembelajaran",Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Prof. Dr.Eng. Fitri Utaminingrum melalui email?,Prof. Dr.Eng. Fitri Utaminingrum dapat dihubungi melalui email f3_ningrum[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Prof. Dr.Eng. Fitri Utaminingrum?,"Nama lengkap dan gelar akademik Prof. Dr.Eng. Fitri Utaminingrum adalah Prof. Dr.Eng. Fitri Utaminingrum, S.T., M.T",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Prof. Dr.Eng. Fitri Utaminingrum?,Prof. Dr.Eng. Fitri Utaminingrum terafiliasi dengan Departemen Teknik Informatika (DTIF) dan Program Studi S2 Magister Ilmu Komputer,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Prof. Dr.Eng. Fitri Utaminingrum?,Fokus penelitian Prof. Dr.Eng. Fitri Utaminingrum adalah Pemrosesan Citra Digital dan Visi Komputer,Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Prof. Ir. Wayan Firdaus Mahmudy melalui email?,Prof. Ir. Wayan Firdaus Mahmudy dapat dihubungi melalui email wayanfm[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Prof. Ir. Wayan Firdaus Mahmudy?,"Nama lengkap dan gelar akademik Prof. Ir. Wayan Firdaus Mahmudy adalah Prof. Ir. Wayan Firdaus Mahmudy, S.Si., M.T., Ph.D",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Prof. Ir. Wayan Firdaus Mahmudy?,Prof. Ir. Wayan Firdaus Mahmudy terafiliasi dengan Departemen Teknik Informatika (DTIF) dan Program Studi S1 Teknik Informatika,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Prof. Ir. Wayan Firdaus Mahmudy?,Fokus penelitian Prof. Ir. Wayan Firdaus Mahmudy adalah Sistem Cerdas,Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Putra Pandu Adikara melalui email?,Putra Pandu Adikara dapat dihubungi melalui email adikara.putra[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Putra Pandu Adikara?,"Nama lengkap dan gelar akademik Putra Pandu Adikara adalah Putra Pandu Adikara, S.Kom., M.Kom",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Putra Pandu Adikara?,Putra Pandu Adikara terafiliasi dengan Departemen Teknik Informatika (DTIF) dan Program Studi S1 Teknik Informatika,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Putra Pandu Adikara?,"Fokus penelitian Putra Pandu Adikara adalah Pemerolehan Informasi (Information Retrieval), Pemrosesan Bahasa Alami (Natural Language Processing), Penambangan Teks (Text Mining), dan Pembelajaran Mesin (Machine Learning)",Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Rakhmadhany Primananda melalui email?,Rakhmadhany Primananda dapat dihubungi melalui email rakhmadhany[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Rakhmadhany Primananda?,"Nama lengkap dan gelar akademik Rakhmadhany Primananda adalah Rakhmadhany Primananda, S.T., M.Kom",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Rakhmadhany Primananda?,Rakhmadhany Primananda terafiliasi dengan Departemen Teknik Informatika (DTIF) dan Program Studi S1 Teknik Komputer,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Rakhmadhany Primananda?,"Fokus penelitian Rakhmadhany Primananda adalah Wireless Sensor Network, Internet of Things, Fault Tolerant Computer System, dan Cloud Computing",Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Randy Cahya Wihandika melalui email?,Randy Cahya Wihandika dapat dihubungi melalui email rendicahya[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Randy Cahya Wihandika?,"Nama lengkap dan gelar akademik Randy Cahya Wihandika adalah Randy Cahya Wihandika, S.ST., M.Kom",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Randy Cahya Wihandika?,Randy Cahya Wihandika terafiliasi dengan Departemen Teknik Informatika (DTIF) dan Program Studi S1 Teknik Informatika,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Randy Cahya Wihandika?,Fokus penelitian Randy Cahya Wihandika adalah Pengolahan citra digital dan visi komputer,Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Ratih Kartika Dewi melalui email?,Ratih Kartika Dewi dapat dihubungi melalui email ratihkartikad[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Ratih Kartika Dewi?,"Nama lengkap dan gelar akademik Ratih Kartika Dewi adalah Ratih Kartika Dewi, S.T., M.Kom",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Ratih Kartika Dewi?,Ratih Kartika Dewi terafiliasi dengan Departemen Teknik Informatika (DTIF) dan Program Studi S1 Teknik Informatika,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Ratih Kartika Dewi?,Fokus penelitian Ratih Kartika Dewi adalah Mobile application,Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Rekyan Regasari Mardi Putri melalui email?,Rekyan Regasari Mardi Putri dapat dihubungi melalui email rekyan.rmp[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Rekyan Regasari Mardi Putri?,"Nama lengkap dan gelar akademik Rekyan Regasari Mardi Putri adalah Rekyan Regasari Mardi Putri, S.T., M.T",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Rekyan Regasari Mardi Putri?,Rekyan Regasari Mardi Putri terafiliasi dengan Departemen Teknik Informatika (DTIF) dan Program Studi S1 Teknik Komputer,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Rekyan Regasari Mardi Putri?,Fokus penelitian Rekyan Regasari Mardi Putri adalah Komputasi dan Sistem Cerdas-Mesin Pembelajaran,Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Retno Indah Rokhmawati melalui email?,Retno Indah Rokhmawati dapat dihubungi melalui email retnoindahr[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Retno Indah Rokhmawati?,"Nama lengkap dan gelar akademik Retno Indah Rokhmawati adalah Retno Indah Rokhmawati, S.Pd., M.Pd",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Retno Indah Rokhmawati?,Retno Indah Rokhmawati terafiliasi dengan Departemen Sistem Informasi (DSI) dan Program Studi S1 Pendidikan Teknologi Informasi,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Retno Indah Rokhmawati?,"Fokus penelitian Retno Indah Rokhmawati adalah Desain dan Evaluasi UI/UX, Learning Experience Design, dan Penelitian Tindakan Kelas",Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Reza Andria Siregar melalui email?,Reza Andria Siregar dapat dihubungi melalui email reza.jalin[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Reza Andria Siregar?,"Nama lengkap dan gelar akademik Reza Andria Siregar adalah Reza Andria Siregar, S.T., M.Kom",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Reza Andria Siregar?,Reza Andria Siregar terafiliasi dengan Departemen Teknik Informatika (DTIF) dan Program Studi S1 Teknik Informatika,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Reza Andria Siregar?,"Fokus penelitian Reza Andria Siregar adalah Jaringan Komputer, Jaringan Bergerak, dan Jaringan Nirkabel",Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Riswan Septriayadi Sianturi melalui email?,Riswan Septriayadi Sianturi dapat dihubungi melalui email rsianturi[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Riswan Septriayadi Sianturi?,"Nama lengkap dan gelar akademik Riswan Septriayadi Sianturi adalah Riswan Septriayadi Sianturi, S.Si., M.M., M.Sc., Ph.D",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Riswan Septriayadi Sianturi?,Riswan Septriayadi Sianturi terafiliasi dengan Departemen Sistem Informasi (DSI) dan Program Studi S1 Teknologi Informasi,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Riswan Septriayadi Sianturi?,Fokus penelitian Riswan Septriayadi Sianturi adalah Geoinformasi,Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Rizal Maulana melalui email?,Rizal Maulana dapat dihubungi melalui email rizal_lana[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Rizal Maulana?,"Nama lengkap dan gelar akademik Rizal Maulana adalah Rizal Maulana, S.T., M.T., M.Sc",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Rizal Maulana?,Rizal Maulana terafiliasi dengan Departemen Teknik Informatika (DTIF) dan Program Studi S1 Teknik Komputer,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Rizal Maulana?,Fokus penelitian Rizal Maulana adalah Teknik Biomedis dan Robotika,Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Rizal Setya Perdana melalui email?,Rizal Setya Perdana dapat dihubungi melalui email rizalespe[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Rizal Setya Perdana?,"Nama lengkap dan gelar akademik Rizal Setya Perdana adalah Rizal Setya Perdana, S.Kom., M.Kom., Ph.D",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Rizal Setya Perdana?,Rizal Setya Perdana terafiliasi dengan Departemen Teknik Informatika (DTIF) dan Program Studi S1 Teknik Informatika,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Rizal Setya Perdana?,"Fokus penelitian Rizal Setya Perdana adalah Natural Language Processing, Image Captioning, Visual Storytelling, dan Chatbots",Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Sabriansyah Rizqika Akbar melalui email?,Sabriansyah Rizqika Akbar dapat dihubungi melalui email sabrian[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Sabriansyah Rizqika Akbar?,"Nama lengkap dan gelar akademik Sabriansyah Rizqika Akbar adalah Sabriansyah Rizqika Akbar, S.T., M.Eng., Ph.D",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Sabriansyah Rizqika Akbar?,Sabriansyah Rizqika Akbar terafiliasi dengan Departemen Teknik Informatika (DTIF) dan Program Studi S1 Teknik Komputer,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Sabriansyah Rizqika Akbar?,"Fokus penelitian Sabriansyah Rizqika Akbar adalah Jaringan Sensor Nirkabel, Pervasive & Ubiquitous Computing, dan Jaringan Berbasis Informasi",Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Satrio Hadi Wijoyo melalui email?,Bagaimana cara menghubungi Satrio Hadi Wijoyo melalui email?,Manajemen / Struktur Organisasi FILKOM
Apa nama lengkap dan gelar akademik Satrio Hadi Wijoyo?,"Nama lengkap dan gelar akademik Satrio Hadi Wijoyo adalah Satrio Hadi Wijoyo, S.Si., S.Pd., M.Kom",Manajemen / Struktur Organisasi FILKOM
Departemen dan Program Studi apa yang menjadi afiliasi Satrio Hadi Wijoyo?,Satrio Hadi Wijoyo terafiliasi dengan Departemen Sistem Informasi (DSI) dan Program Studi S1 Pendidikan Teknologi Informasi,Manajemen / Struktur Organisasi FILKOM
Bidang penelitian apa yang menjadi fokus Satrio Hadi Wijoyo?,"Fokus penelitian Satrio Hadi Wijoyo melibatkan Pendidikan, Pembelajaran, Evaluasi, Media Pembelajaran, komputasi cerdas, dan manajemen data&informasi",Manajemen / Struktur Organisasi FILKOM
Bagaimana cara menghubungi Sigit Adinugroho melalui email?,Sigit Adinugroho dapat dihubungi melalui email sigit.adinu[at]ub.ac.id,Manajemen / Struktur Organisasi FILKOM
